trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
277,False,"{'a': 0.9, 'e': 1.3032881961188077e-05}",25,14,22.38172282104524,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.9, 'e': 1.2939288856684436e-05}",20,10,17.125045657310828,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.9, 'e': 1.2846700325021518e-05}",20,7,28.131407303035413,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.9, 'e': 1.2755102040816327e-05}",20,8,23.788989286153654,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.9, 'e': 1.2664479933131545e-05}",30,8,38.05560487582773,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.9, 'e': 1.2574820180071425e-05}",20,2,24.785258055374104,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.9, 'e': 1.2486109203511094e-05}",20,10,15.429960076903729,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.9, 'e': 1.2398333663955564e-05}",30,14,29.965309044362968,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.9, 'e': 1.2311480455524777e-05}",20,11,16.76005490923879,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.9, 'e': 1.2225536701061176e-05}",25,14,18.36988099548129,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.9, 'e': 1.2140489747356409e-05}",30,18,16.78220403434315,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.9, 'e': 1.2056327160493826e-05}",20,2,29.229985028080556,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.9, 'e': 1.1973036721303624e-05}",25,14,20.595204011327564,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.9, 'e': 1.1890606420927467e-05}",20,16,6.281262666779016,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.9, 'e': 1.1809024456489649e-05}",25,20,9.908083703742404,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.9, 'e': 1.1728279226871834e-05}",20,6,18.206943474769556,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.9, 'e': 1.1648359328588568e-05}",20,0,29.49388921528587,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
294,False,"{'a': 0.9, 'e': 1.156925355176084e-05}",20,14,11.525398663108637,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.9, 'e': 1.1490950876185005e-05}",25,13,25.30480800379255,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.9, 'e': 1.1413440467494522e-05}",20,7,23.718617582843706,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.9, 'e': 1.1336711673412011e-05}",25,1,40.087166036702264,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.9, 'e': 1.1260754020089185e-05}",20,13,13.791879941845833,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.9, 'e': 1.1185557208532343e-05}",30,18,21.6133953033568,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.9, 'e': 1.1111111111111112e-05}",30,22,14.50500458736842,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.9, 'e': 1.1037405768148255e-05}",20,7,20.818162624096818,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.9, 'e': 1.0964431384588396e-05}",20,14,11.722383755560504,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.9, 'e': 1.0892178326743566e-05}",35,13,37.0098447616558,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.9, 'e': 1.0820637119113573e-05}",25,18,14.773784954310166,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.9, 'e': 1.0749798441279227e-05}",25,13,23.994540644373558,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.9, 'e': 1.0679653124866504e-05}",25,15,19.9549700302543,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.9, 'e': 1.0610192150579848e-05}",20,8,23.20949541876662,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.9, 'e': 1.0541406645302749e-05}",25,11,21.61095686973767,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.9, 'e': 1.0473287879263938e-05}",20,11,14.33937598440581,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.9, 'e': 1.040582726326743e-05}",30,13,26.63262212465027,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.9, 'e': 1.0339016345984843e-05}",25,11,29.618446838707595,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.9, 'e': 1.027284681130835e-05}",20,5,24.801529843512984,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.9, 'e': 1.0207310475762742e-05}",25,5,33.83185492474983,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.9, 'e': 1.014239928597509e-05}",20,15,11.111838503936987,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.9, 'e': 1.0078105316200555e-05}",20,12,16.074957746688476,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.9, 'e': 1.00144207659029e-05}",35,27,16.573643176799486,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.9, 'e': 9.95133795738837e-06}",30,18,21.069173813647186,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.9, 'e': 9.888849333491555e-06}",20,10,17.10841874379773,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.9, 'e': 9.826947455311957e-06}",20,0,32.00203737012689,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
320,False,"{'a': 0.9, 'e': 9.765625e-06}",25,9,24.08487867532315,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.9, 'e': 9.70487475859124e-06}",25,3,34.36387437803772,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.9, 'e': 9.644689633887581e-06}",30,4,45.27798475310096,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.9, 'e': 9.585062638384341e-06}",20,7,23.823232919742413,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
